objtype,keyspace,name,size,WRUPerRec,rowsPerWRU,rowsPerRRU,rowsSizeWarning,columns
TABLE,YD,YDDT232,207,1,4,19,,13
MATERIALIZED VIEW,YD,YDDT232_CKEY,,,,,,
KEYSPACE,JM,null,,,,,,
TABLE,JM,JMDT136,25,1,40,160,,1
TABLE,JM,JMDT004,1250,2,,3,true,91
TABLE,JM,JMDT076,133,1,7,30,,6
TABLE,JM,JMDT078,25,1,40,160,,1
TABLE,JM,JMDT109,386,1,2,10,,22
TABLE,JM,JMDT121,25,1,40,160,,1
TABLE,JM,JMDT110,25,1,40,160,,1
TABLE,JM,JMDT021,306,1,3,13,,23
KEYSPACE,BCL_CRONOS,null,,,,,,
TABLE,BCL_CRONOS,INGESTIONTIME,83,1,12,48,,4
TABLE,BCL_CRONOS,SPARK_MONITORING,25,1,40,160,,1
TABLE,BCL_CRONOS,OBK_METRICS_BASELINE,25,1,40,160,,1
TABLE,BCL_CRONOS,CTRLMETRICS,104,1,9,38,,5
TABLE,BCL_CRONOS,ALERTSMETRICLOG,116,1,8,34,,6
TABLE,BCL_CRONOS,CTRLDEVICES,150,1,6,26,,6
TABLE,BCL_CRONOS,TB_GENE_MAPA,100,1,10,40,,3
TABLE,BCL_CRONOS,DATAMETRICS,140,1,7,28,,9
TABLE,BCL_CRONOS,TB_RELA_CLIE_PENU,100,1,10,40,,4
TABLE,BCL_CRONOS,TB_DTLH_MOBI,183,1,5,21,,7
TABLE,BCL_CRONOS,ALERTSFLOWLOG,116,1,8,34,,6
TABLE,BCL_CRONOS,TB_EVEN,291,1,3,13,,13
TABLE,BCL_CRONOS,SEVERITY,25,1,40,160,,1
KEYSPACE,BCL_MP,null,,,,,,
KEYSPACE,UG,null,,,,,,
TABLE,UG,UGDTMAE,5071,6,,,true,348
TABLE,UG,UGDTLIQ,458,1,2,8,,19
TABLE,UG,UGDT229,575,1,1,6,true,43
TABLE,UG,UGDTMRC,573,1,1,6,true,32
TABLE,UG,UGDT131,366,1,2,10,,17
TABLE,UG,UGDTADE,2240,3,,1,true,118
TABLE,UG,UGDTRVC,518,1,1,7,true,34
TABLE,UG,UGDT246,252,1,3,15,,19
TABLE,UG,UGDTMTA,744,1,1,5,true,38
TABLE,UG,UGDTLQE,327,1,3,12,,23
INDEX,IDX_CUENTA_LQE,null,,,,,,
MATERIALIZED VIEW,UG,IDX_CUENTA_LQE_INDEX,,,,,,
TABLE,UG,UGDTDRB,2428,3,,1,true,186
TABLE,UG,UGDTADS,2302,3,,1,true,123
