table_ref,keyspace,table,insert_count,insert_size,insert_wrus,writes_size,WRU per record,Rows per RRU,RRU per 10 rows
EM4CAS001.CATEGORIA,EM4CAS001,CATEGORIA,100,48448,100,48448,1,9,2
EM4CAS001.CONFIGURATION,EM4CAS001,CONFIGURATION,100,35854,100,35854,1,12,1
EM4CAS001.ENTIDADE,EM4CAS001,ENTIDADE,100,47526,100,47526,1,9,2
EM4CAS001.INTENCAO,EM4CAS001,INTENCAO,100,68385,100,68385,1,6,2
EM4CAS001.INTERACOES,EM4CAS001,INTERACOES,100,154267,200,154267,2,3,4
EM4CAS001.PERMISSAO,EM4CAS001,PERMISSAO,100,30100,100,30100,1,14,1
EM4CAS001.RESPOSTA,EM4CAS001,RESPOSTA,100,70934,100,70934,1,6,2
EM4CAS001.ROUTER_INTERACTION_CONTROL,EM4CAS001,ROUTER_INTERACTION_CONTROL,1,233,1,233,1,18,1
EM4CAS001.SESSION,EM4CAS001,SESSION,1,834,1,834,1,5,2
EM4CAS001.SESSIONBYCLIENT,EM4CAS001,SESSIONBYCLIENT,100,89889,100,89889,1,5,2
EM4CAS001.TBEM4001_ASSN_CTTO_TNNT,EM4CAS001,TBEM4001_ASSN_CTTO_TNNT,100,63269,100,63269,1,7,2
EM4CAS001.TBEM4002_CNFG_IMPL,EM4CAS001,TBEM4002_CNFG_IMPL,100,44445,100,44445,1,9,2
EM4CAS001.TBEM4003_CNFG_TECN,EM4CAS001,TBEM4003_CNFG_TECN,100,40849,100,40849,1,10,1
EM4CAS001.TBEM4004_CTTO_TNNT,EM4CAS001,TBEM4004_CTTO_TNNT,100,48693,100,48693,1,9,2
EM4CAS001.TBEM4005_ORIG_DSTN_VRVL_TNNT,EM4CAS001,TBEM4005_ORIG_DSTN_VRVL_TNNT,100,46957,100,46957,1,9,2
EM4CAS001.TBEM4006_REGR_TNNT,EM4CAS001,TBEM4006_REGR_TNNT,100,62587,100,62587,1,7,2
EM4CAS001.TBEM4007_REGR_TNNT_CTTO,EM4CAS001,TBEM4007_REGR_TNNT_CTTO,100,34400,100,34400,1,12,1
EM4CAS001.TBEM4008_REGR_TNNT_CTTO_ASSN,EM4CAS001,TBEM4008_REGR_TNNT_CTTO_ASSN,100,39500,100,39500,1,11,1
EM4CAS001.TBEM4009_TNNT,EM4CAS001,TBEM4009_TNNT,100,36750,100,36750,1,11,1
EM4CAS001.TBEM4010_VRVL_TNNT,EM4CAS001,TBEM4010_VRVL_TNNT,100,53012,100,53012,1,8,2
EM4CAS001.TBEM4011_AGED_PRSO_TLMA,EM4CAS001,TBEM4011_AGED_PRSO_TLMA,100,43700,100,43700,1,10,1
EM4CAS001.TBEM4012_AMOS_ITRC_CLIE_AGET,EM4CAS001,TBEM4012_AMOS_ITRC_CLIE_AGET,100,114300,200,114300,2,4,3
EM4CAS001.TBEM4013_ATED_CLIE_AGET_DIAR,EM4CAS001,TBEM4013_ATED_CLIE_AGET_DIAR,100,31600,100,31600,1,13,1
